ID,Name,rate,total_rate,Poster
tt0000001,Carmencita (1894) ,5.7,"1,625","https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000002,Le clown et ses chiens (1892) ,6.1,196,"https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR24,0,182,268_AL_.jpg"
tt0000003,Pauvre Pierrot (1892) ,6.5,"1,315","https://m.media-amazon.com/images/M/MV5BNGRkODFmNjYtYjU2Yy00YTI1LWFlYzgtNGE0YTdmNjI0ZDk0XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000004,Un bon bock (1892) ,6.2,119,"https://m.media-amazon.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR16,0,182,268_AL_.jpg"
tt0000005,Blacksmith Scene (1893) ,6.1,"2,095","https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000006,Chinese Opium Den (1894) ,5.2,113,"https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR77,0,182,268_AL_.jpg"
tt0000007,Corbett and Courtney Before the Kinetograph (1894) ,5.4,644,"https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000008,Edison Kinetoscopic Record of a Sneeze (1894) ,5.4,"1,787","https://m.media-amazon.com/images/M/MV5BNzFkN2JkNjEtZDZhNi00NmVmLTg4YWUtOGMzZWQ4NzFmZWI0XkEyXkFqcGdeQXVyMDEyNzY3OA@@._V1_UY268_CR85,0,182,268_AL_.jpg"
tt0000009,Miss Jerry (1894) ,5.9,153,"https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR72,0,182,268_AL_.jpg"
tt0000010,La sortie de l'usine Lumière à Lyon (1895) ,6.9,"5,955","https://m.media-amazon.com/images/M/MV5BOGUxOWUxZjMtZWUzZS00NTM0LTgzY2ItNTU2ZWY2NDNmNjE0XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000011,Akrobatisches Potpourri (1895) ,5.2,255,"https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000012,The Arrival of a Train (1896) ,7.4,"10,150","https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000013,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon (1895) ,5.7,"1,553","https://m.media-amazon.com/images/M/MV5BOWFmNDcxOWEtNzI1OC00OGRhLWIzYjYtMmM3YmMxY2VmOTI1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR76,0,182,268_AL_.jpg"
